id,cost,detail,icon,gender,culture / context,when?,source,link 1,,
1,4480,slave (very young child),girl,either,Ancient Egypt,-500,The Slave Systems Or Greek and Roman Antiquity by William Linn Westerman ,http://books.google.es/books?id=FF-uCZRXiO4C&lpg=PA101&ots=bNsos9KDY-&dq=prices%20roman%20slaves%20child%20old&pg=PA101#v=onepage&q=prices%20roman%20slaves%20child%20old&f=false,,
2,20480,slave (8 years old),girl,Female (girl),Ancient Egypt,-500,The Slave Systems Or Greek and Roman Antiquity by William Linn Westerman ,http://books.google.es/books?id=FF-uCZRXiO4C&lpg=PA101&ots=bNsos9KDY-&dq=prices%20roman%20slaves%20child%20old&pg=PA101#v=onepage&q=prices%20roman%20slaves%20child%20old&f=false,,
3,32000,slave,male,Male,Ancient Egypt,-500,The Slave Systems Or Greek and Roman Antiquity by William Linn Westerman ,http://books.google.es/books?id=FF-uCZRXiO4C&lpg=PA101&ots=bNsos9KDY-&dq=prices%20roman%20slaves%20child%20old&pg=PA101#v=onepage&q=prices%20roman%20slaves%20child%20old&f=false,,
4,2080,Gladiator,gladiator,Male,Ancient Rome,0,Encyclopaedia Romana,http://penelope.uchicago.edu/~grout/encyclopaedia_romana/gladiators/venationes.html,,
5,6000,slave,boy,Male (boy),Ancient Rome,0,The Slave Systems Or Greek and Roman Antiquity by William Linn Westerman ,http://books.google.es/books?id=FF-uCZRXiO4C&lpg=PA101&ots=bNsos9KDY-&dq=prices%20roman%20slaves%20child%20old&pg=PA101#v=onepage&q=prices%20roman%20slaves%20child%20old&f=false,,
6,12000,slave,girl,Female (girl),Ancient Rome,0,The Slave Systems Or Greek and Roman Antiquity by William Linn Westerman ,http://books.google.es/books?id=FF-uCZRXiO4C&lpg=PA101&ots=bNsos9KDY-&dq=prices%20roman%20slaves%20child%20old&pg=PA101#v=onepage&q=prices%20roman%20slaves%20child%20old&f=false,,
7,24000,slave,male,Male,Ancient Rome,0,The Slave Systems Or Greek and Roman Antiquity by William Linn Westerman ,http://books.google.es/books?id=FF-uCZRXiO4C&lpg=PA101&ots=bNsos9KDY-&dq=prices%20roman%20slaves%20child%20old&pg=PA101#v=onepage&q=prices%20roman%20slaves%20child%20old&f=false,,
8,1200,Afghanistan Civilian death (Australian Military),adult,both,Australian Military,2011-2013,Herald Sun,http://www.heraldsun.com.au/ipad/diggers-pay-market-rate-1200-compensation-for-afghan-civilian-deaths/story-fn6bfkm6-1225944913938,,
9,1300,Male Irish Slave,male,Male,Caribbean,1650," 'A World Of Curiosities' John Oldale, page 50",,,
10,9000,Female African girl slave,girl,Female (girl),Caribbean,1650,"Nationalarchives.com, Raceandhistory.com",http://www.nationalarchives.gov.uk/pathways/blackhistory/africa_caribbean/transcripts/stephen_fuller.htm,http://www.measuringworth.com/ppoweruk/,
11,9500,Male African boy slave,boy,Male (boy),Caribbean,1650,"Nationalarchives.com, Raceandhistory.com",http://www.nationalarchives.gov.uk/pathways/blackhistory/africa_caribbean/transcripts/stephen_fuller.htm,,
12,10000,African Slave,male,Male,Caribbean,1650," 'A World Of Curiosities' John Oldale, page 50",,,
13,10300,African Female slave,female,Female,Caribbean,1650,"Nationalarchives.com, Raceandhistory.com",http://www.nationalarchives.gov.uk/pathways/blackhistory/africa_caribbean/transcripts/stephen_fuller.htm,,
20,70,purchased freedom of sudanese slaves,adult,both,Sudan (civil war),1998,CBS news,http://www.cbsnews.com/stories/1999/01/25/world/main29927.shtml,,
21,2000,Afghanistan Civilian death (average),adult,both,UK Military,2011-2013,http://www.guardian.co.uk/commentisfree/2011/apr/01/afghan-life-nato,,,
22,8000,Afghanistan Civilian death (highest paid),adult,both,UK Military,2011-2013,http://www.guardian.co.uk/commentisfree/2011/apr/01/afghan-life-nato,,,
23,38000,UK Military Personnel,adult,both,UK Military,2011-2013,Veterans UK,http://www.veterans-uk.info/pensions/death.html,,
24,4000,"60 year old, black male slave  ",male,male,US,1850,,http://eh.net/encyclopedia/article/wahl.slavery.us,,
25,8100,"10 year old, black male slave",male,male,US,1850,,,,
26,11000,"40 & 20 year old, black male slave  ",male,male,US,1850,,http://eh.net/encyclopedia/article/wahl.slavery.us,,
27,19000,"35 year old, black male slave  ",male,male,US,1850,,http://eh.net/encyclopedia/article/wahl.slavery.us,,
28,22000,"25 year old, black male slave  ",male,male,US,1850,,http://eh.net/encyclopedia/article/wahl.slavery.us,,
29,30000,Prime Male Slave (New Orleans),male,male,US,1855,,http://eh.net/encyclopedia/article/wahl.slavery.us,,
30,100000,US Military Personnel,military,both,US Military,2011-2013,Military.com,http://www.military.com/benefits/survivor-benefits/death-gratuity.html,,
32,6400,Baby from Nigeria,baby,both,Nigeria ,2011,"Havoscope, Guardian",http://www.havocscope.com/black-market-prices/human-trafficking-prices/,,
33,7800,Male Baby in China,baby,male,China,2012,"Havoscope, Businessweek",http://www.havocscope.com/price-of-babies-sold-in-china-in-2012/,,
34,4732,Female Baby in China,baby,female,China,2011,"Havoscope, Guardian",http://www.havocscope.com/reported-price-of-babies-in-china-in-2011/,,
35,160,Baby in Indonesia ,baby,both,Indonesia,2012,"Havoscope, Sydney Morning Herald",http://www.havocscope.com/price-of-babies-in-indonesia-sold-to-traffickers/,,
36,250,Baby in Indonesia,baby,both,Indonesia,2012,"Havoscope, Sydney Morning Herald",http://www.havocscope.com/price-of-babies-in-indonesia-sold-to-traffickers/,,
37,6588,Baby in Malaysia,baby,both,Malaysia,2010,"Havoscope, The Star",http://www.havocscope.com/price-of-babies-sold-in-malaysia/,,
38,17500,"Baby in North Caucasus, Russia",baby,male,Russia,2012,"Havoscope, Reuters",http://www.havocscope.com/price-of-baby-in-north-caucasus-region-of-russia/,,
39,14473,"Purchase of abducted boy, China",boy,male,China,2013,"Havoscope, The Economist",http://www.havocscope.com/price-of-abducted-boy-in-china/,,
40,45000,Trafficked person in Cambodia or Thailand,child,both ,"Cambodia, Thailand",2013,"Havoscope, “Transnational Organized Crime in East Asia and the Pacific: A Threat Assessment,” UNODC, April 2013, Executive Summary, page iv",http://www.havocscope.com/income-from-trafficking-victim-in-cambodia-and-thailand/,,
41,300,"Child, Ghana",child,both,Ghana,2010,"Havoscope, CNN",http://www.havocscope.com/price-of-children-in-ghana/,,
42,45,"Child, India (for labour, sex work)",child,both,India,2007,"Havoscope, Reuters",http://www.havocscope.com/buffaloes-in-india-cost-350-children-cost-45/,,
43,300,"Child, Iraq (lowest)",child,both,"Iraq, international trafficking",2009,"Havoscope, Guardian",http://www.havocscope.com/prices-of-children-in-iraq/,,
44,5500,"Child, Iraq (highest)",child,both,"Iraq, international trafficking",2009,"Havoscope, Guardian",http://www.havocscope.com/prices-of-children-in-iraq/,,
45,600,"Child soldier, Mali",boy,male,Mali ,2012,"Havoscope, BBC",http://www.havocscope.com/price-to-buy-child-soldier-in-mali/,,
46,25,"Child beggar 'rental', Thailand",child,both,Thailand,2012,Havoscope,http://www.havocscope.com/child-beggars-in-thailand/,,
47,25000,"Child, UK",child,both,UK,2011,"Havoscope, BBC",http://www.havocscope.com/price-of-children-in-the-uk/,,
48,3000,"Romanian girl sold into prostitution, Western Europe",girl,female ,Romania,2010,"Havoscope, Sofia News Agency",http://www.havocscope.com/price-of-romanian-girls/,,
49,6000,"Romanian girl sold into prostitution, Western Europe maximum",girl,female ,Romania,2010,"Havoscope, Sofia News Agency",http://www.havocscope.com/price-of-romanian-girls/,,
50,250,"Child prostitute, Bangladesh",girl,female,Bangladesh,2012,"Havoscope, Reuters",http://www.havocscope.com/rates-in-bangladesh/,,
51,600,"Trafficked girl aged 10-15, Nairobi",girl,female,Kenya,2011,"Havoscope, Guardian ",http://www.havocscope.com/price-of-girls-bought-in-nairobi/,,
52,2,"Trafficked girl, Mozambique",girl,female,Mozambique,2012,"Havoscope, CNN Freedom Project",http://www.havocscope.com/price-of-girls-in-mozambique/,,
53,1000,Trafficked Haitian immigrants sold in Chile,child,both,Chile,2013,"Havoscope, The Santiago Times",http://www.havocscope.com/trafficking-selling-price-in-chile/,,
54,1000,Eyes and kidneys of a Yemeni trafficking victim,child,both,Egypt,2012,"Havoscope, Yemen Post",http://www.havocscope.com/profit-for-traffickers-in-yemen/,,
